Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Chromosome/scaffold name,Gene start (bp hg19),Gene end (bp hg19),Gene name,Source of gene name
ENSG00000230691,ENSG00000230691.1,ENST00000453682,ENST00000453682.1,X,12844865,12845430,MRPL35P4,HGNC Symbol
ENSG00000196664,ENSG00000196664.5,ENST00000380659,ENST00000380659.4,X,12867072,12890361,TLR7,HGNC Symbol
ENSG00000233338,ENSG00000233338.1,ENST00000451564,ENST00000451564.1,X,12902817,12908333,TLR8-AS1,HGNC Symbol
ENSG00000101916,ENSG00000101916.12,ENST00000218032,ENST00000218032.7,X,12906620,12923169,TLR8,HGNC Symbol
ENSG00000205542,ENSG00000205542.11,ENST00000451311,ENST00000451311.7,X,12975110,12977227,TMSB4X,HGNC Symbol
ENSG00000187268,ENSG00000187268.12,ENST00000380625,ENST00000380625.8,X,13035617,13044682,FAM9C,HGNC Symbol
ENSG00000235385,ENSG00000235385.2,ENST00000412485,ENST00000412485.1,X,13266048,13303452,LINC02154,HGNC Symbol
ENSG00000231216,ENSG00000231216.1,ENST00000431486,ENST00000431486.1,X,13310652,13319933,GS1-600G8.3,NCBI gene (formerly Entrezgene)
ENSG00000123594,ENSG00000123594.6,ENST00000380622,ENST00000380622.5,X,13318647,13320053,ATXN3L,HGNC Symbol
ENSG00000226985,ENSG00000226985.7,ENST00000456091,ENST00000456091.2,X,13333952,13403035,LINC01203,HGNC Symbol
ENSG00000197582,ENSG00000197582.5,ENST00000388829,ENST00000388829.3,X,13378735,13379340,GPX1P1,HGNC Symbol
ENSG00000198759,ENSG00000198759.12,ENST00000361306,ENST00000361306.6,X,13569601,13633575,EGFL6,HGNC Symbol
ENSG00000233357,ENSG00000233357.2,ENST00000457129,ENST00000457129.2,X,13574746,13575066,RPL30P15,HGNC Symbol
ENSG00000283493,ENSG00000283493.1,ENST00000638065,ENST00000638065.1,X,13590292,13590346,MIR6086,HGNC Symbol
ENSG00000199622,ENSG00000199622.1,ENST00000362752,ENST00000362752.1,X,13596236,13596548,RN7SKP20,HGNC Symbol
ENSG00000176896,ENSG00000176896.8,ENST00000490617,ENST00000490617.1,X,13653189,13681964,TCEANC,HGNC Symbol
ENSG00000123595,ENSG00000123595.8,ENST00000464506,ENST00000464506.2,X,13689128,13710504,RAB9A,HGNC Symbol
ENSG00000196459,ENSG00000196459.15,ENST00000359680,ENST00000359680.9,X,13712244,13734635,TRAPPC2,HGNC Symbol
ENSG00000046651,ENSG00000046651.16,ENST00000485052,ENST00000485052.6,X,13734743,13777955,OFD1,HGNC Symbol
ENSG00000046653,ENSG00000046653.15,ENST00000316715,ENST00000316715.9,X,13770939,13938638,GPM6B,HGNC Symbol
ENSG00000046647,ENSG00000046647.14,ENST00000680255,ENST00000680255.1,X,14006726,14029893,GEMIN8,HGNC Symbol
ENSG00000233247,ENSG00000233247.3,ENST00000411687,ENST00000411687.1,X,14244382,14244928,UBE2E4P,HGNC Symbol
ENSG00000101958,ENSG00000101958.14,ENST00000218075,ENST00000218075.9,X,14529298,14731812,GLRA2,HGNC Symbol
ENSG00000231066,ENSG00000231066.3,ENST00000453156,ENST00000453156.3,X,14834476,14835319,NPM1P9,HGNC Symbol
ENSG00000181544,ENSG00000181544.15,ENST00000643728,ENST00000643728.1,X,14835961,14873069,FANCB,HGNC Symbol
ENSG00000130150,ENSG00000130150.12,ENST00000380492,ENST00000380492.8,X,14873421,14922327,MOSPD2,HGNC Symbol
ENSG00000235929,ENSG00000235929.1,ENST00000448018,ENST00000448018.1,X,14977959,14978463,TPT1P14,HGNC Symbol
ENSG00000236929,ENSG00000236929.2,ENST00000444401,ENST00000444401.2,X,15117437,15117768,RPL35AP37,HGNC Symbol
ENSG00000102048,ENSG00000102048.16,ENST00000477346,ENST00000477346.6,X,15235288,15270467,ASB9,HGNC Symbol
ENSG00000165192,ENSG00000165192.14,ENST00000380470,ENST00000380470.7,X,15281697,15315640,ASB11,HGNC Symbol
ENSG00000165195,ENSG00000165195.16,ENST00000635631,ENST00000635631.1,X,15319452,15335554,PIGA,HGNC Symbol
ENSG00000165197,ENSG00000165197.5,ENST00000297904,ENST00000297904.4,X,15345596,15384413,VEGFD,HGNC Symbol
ENSG00000087842,ENSG00000087842.11,ENST00000492432,ENST00000492432.5,X,15384799,15493564,PIR,HGNC Symbol
ENSG00000102010,ENSG00000102010.15,ENST00000357607,ENST00000357607.6,X,15464246,15556529,BMX,HGNC Symbol
ENSG00000130234,ENSG00000130234.13,ENST00000679212,ENST00000679212.1,X,15494566,15607236,ACE2,HGNC Symbol
ENSG00000225833,ENSG00000225833.1,ENST00000421585,ENST00000421585.1,X,15602881,15621484,GS1-594A7.3,NCBI gene (formerly Entrezgene)
ENSG00000147003,ENSG00000147003.7,ENST00000380342,ENST00000380342.4,X,15627318,15675012,CLTRN,HGNC Symbol
ENSG00000186312,ENSG00000186312.10,ENST00000380336,ENST00000380336.5,X,15674932,15703724,CA5BP1,HGNC Symbol
ENSG00000169239,ENSG00000169239.13,ENST00000498004,ENST00000498004.5,X,15688830,15788411,CA5B,HGNC Symbol
ENSG00000281371,ENSG00000281371.1,ENST00000630399,ENST00000630399.1,X,15785716,15787589,INE2,HGNC Symbol
ENSG00000169249,ENSG00000169249.13,ENST00000380308,ENST00000380308.7,X,15790472,15823260,ZRSR2,HGNC Symbol
ENSG00000182287,ENSG00000182287.15,ENST00000672987,ENST00000672987.1,X,15825806,15854931,AP1S2,HGNC Symbol
ENSG00000200566,ENSG00000200566.1,ENST00000363696,ENST00000363696.1,X,15916189,15916303,RNU5F-7P,HGNC Symbol
ENSG00000226536,ENSG00000226536.1,ENST00000412724,ENST00000412724.1,X,15917548,15918631,SETP15,HGNC Symbol
ENSG00000126010,ENSG00000126010.6,ENST00000380289,ENST00000380289.3,X,16123565,16153518,GRPR,HGNC Symbol
ENSG00000182798,ENSG00000182798.10,ENST00000400004,ENST00000400004.6,X,16167481,16171464,MAGEB17,HGNC Symbol
ENSG00000215313,ENSG00000215313.3,ENST00000443382,ENST00000443382.1,X,16198428,16199289,RPL6P30,HGNC Symbol
ENSG00000239333,ENSG00000239333.3,ENST00000463595,ENST00000463595.3,X,16539137,16539439,RN7SL658P,HGNC Symbol
ENSG00000047230,ENSG00000047230.15,ENST00000359276,ENST00000359276.9,X,16587999,16712936,CTPS2,HGNC Symbol
ENSG00000265144,ENSG00000265144.1,ENST00000584298,ENST00000584298.1,X,16627012,16627085,MIR548AM,HGNC Symbol
ENSG00000169906,ENSG00000169906.5,ENST00000380200,ENST00000380200.3,X,16650158,16654670,S100G,HGNC Symbol
ENSG00000169895,ENSG00000169895.6,ENST00000380155,ENST00000380155.4,X,16719612,16765340,SYAP1,HGNC Symbol
ENSG00000238709,ENSG00000238709.1,ENST00000458744,ENST00000458744.1,X,16767844,16767905,RNU7-56P,HGNC Symbol
ENSG00000086712,ENSG00000086712.13,ENST00000380122,ENST00000380122.10,X,16786432,16844519,TXLNG,HGNC Symbol
ENSG00000230180,ENSG00000230180.1,ENST00000441100,ENST00000441100.1,X,16803233,16803353,RPL12P49,HGNC Symbol
ENSG00000102054,ENSG00000102054.18,ENST00000425696,ENST00000425696.5,X,16839283,16870362,RBBP7,HGNC Symbol
ENSG00000222736,ENSG00000222736.1,ENST00000410804,ENST00000410804.1,X,16875146,16875267,RNU4-6P,HGNC Symbol
ENSG00000223498,ENSG00000223498.1,ENST00000426556,ENST00000426556.1,X,16897651,16898521,SLC35C2P1,HGNC Symbol
ENSG00000169891,ENSG00000169891.18,ENST00000357277,ENST00000357277.8,X,16946658,17153272,REPS2,HGNC Symbol
ENSG00000214322,ENSG00000214322.3,ENST00000453841,ENST00000453841.1,X,17099782,17100239,CBX1P2,HGNC Symbol
ENSG00000214321,ENSG00000214321.3,ENST00000439415,ENST00000439415.1,X,17282637,17283093,CBX1P4,HGNC Symbol
ENSG00000188158,ENSG00000188158.16,ENST00000676302,ENST00000676302.1,X,17375200,17735994,NHS,HGNC Symbol
ENSG00000265465,ENSG00000265465.1,ENST00000585270,ENST00000585270.1,X,17425881,17425954,MIR4768,HGNC Symbol
ENSG00000230020,ENSG00000230020.1,ENST00000452788,ENST00000452788.1,X,17552349,17557387,NHS-AS1,HGNC Symbol
ENSG00000226153,ENSG00000226153.1,ENST00000427102,ENST00000427102.1,X,17705339,17705691,CHP1P3,HGNC Symbol
ENSG00000047634,ENSG00000047634.15,ENST00000398080,ENST00000398080.5,X,17737449,17754988,SCML1,HGNC Symbol
ENSG00000131831,ENSG00000131831.18,ENST00000415486,ENST00000415486.7,X,17800049,17861337,RAI2,HGNC Symbol
ENSG00000225066,ENSG00000225066.1,ENST00000418200,ENST00000418200.1,X,17933349,17934823,MDM4P1,HGNC Symbol
ENSG00000225882,ENSG00000225882.1,ENST00000453902,ENST00000453902.1,X,17970197,18104644,LINC01456,HGNC Symbol
ENSG00000177324,ENSG00000177324.14,ENST00000380033,ENST00000380033.9,X,18162931,18220886,BEND2,HGNC Symbol
ENSG00000102098,ENSG00000102098.19,ENST00000251900,ENST00000251900.9,X,18239313,18354688,SCML2,HGNC Symbol
ENSG00000235211,ENSG00000235211.4,ENST00000416049,ENST00000416049.2,X,18341216,18341346,TMSB10P2,HGNC Symbol
ENSG00000008086,ENSG00000008086.13,ENST00000379996,ENST00000379996.7,X,18425583,18653629,CDKL5,HGNC Symbol
ENSG00000236187,ENSG00000236187.1,ENST00000415117,ENST00000415117.1,X,18535079,18536120,GJA6P,HGNC Symbol
ENSG00000102104,ENSG00000102104.9,ENST00000379984,ENST00000379984.4,X,18639688,18672108,RS1,HGNC Symbol
ENSG00000086717,ENSG00000086717.18,ENST00000486029,ENST00000486029.1,X,18675909,18827921,PPEF1,HGNC Symbol
ENSG00000237221,ENSG00000237221.1,ENST00000430641,ENST00000430641.1,X,18688643,18691604,PPEF1-AS1,HGNC Symbol
ENSG00000196564,ENSG00000196564.4,ENST00000358001,ENST00000358001.4,X,18838709,18839452,BLOC1S6P1,HGNC Symbol
ENSG00000224224,ENSG00000224224.1,ENST00000439908,ENST00000439908.1,X,18865771,18866554,HAUS1P2,HGNC Symbol
ENSG00000237836,ENSG00000237836.6,ENST00000452900,ENST00000452900.5,X,18890296,18894974,PHKA2-AS1,HGNC Symbol
ENSG00000044446,ENSG00000044446.12,ENST00000379942,ENST00000379942.5,X,18892298,18984114,PHKA2,HGNC Symbol
ENSG00000266710,ENSG00000266710.2,ENST00000579283,ENST00000579283.2,X,18915243,18915535,RN7SL48P,HGNC Symbol
ENSG00000173698,ENSG00000173698.18,ENST00000379873,ENST00000379873.6,X,18989307,19122637,ADGRG2,HGNC Symbol
ENSG00000131828,ENSG00000131828.14,ENST00000423505,ENST00000423505.5,X,19343893,19361718,PDHA1,HGNC Symbol
ENSG00000180815,ENSG00000180815.15,ENST00000518578,ENST00000518578.5,X,19360056,19515508,MAP3K15,HGNC Symbol
ENSG00000275800,ENSG00000275800.1,ENST00000618904,ENST00000618904.1,X,19496378,19497721,EIF5P2,HGNC Symbol
ENSG00000147010,ENSG00000147010.18,ENST00000397821,ENST00000397821.8,X,19533977,19887600,SH3KBP1,HGNC Symbol
ENSG00000173681,ENSG00000173681.16,ENST00000379687,ENST00000379687.7,X,19912860,19970298,BCLAF3,HGNC Symbol
ENSG00000184368,ENSG00000184368.16,ENST00000379651,ENST00000379651.7,X,20006713,20116907,MAP7D2,HGNC Symbol
ENSG00000264566,ENSG00000264566.3,ENST00000579846,ENST00000579846.3,X,20017088,20017187,MIR23C,HGNC Symbol
ENSG00000173674,ENSG00000173674.11,ENST00000379607,ENST00000379607.10,X,20124525,20141838,EIF1AX,HGNC Symbol
ENSG00000225037,ENSG00000225037.1,ENST00000424026,ENST00000424026.1,X,20139968,20140444,EIF1AX-AS1,HGNC Symbol
ENSG00000177189,ENSG00000177189.14,ENST00000379565,ENST00000379565.9,X,20149911,20267519,RPS6KA3,HGNC Symbol
ENSG00000252978,ENSG00000252978.1,ENST00000517169,ENST00000517169.1,X,20452108,20452431,RN7SKP183,HGNC Symbol
ENSG00000206716,ENSG00000206716.1,ENST00000383989,ENST00000383989.1,X,21214637,21214743,RNU6-133P,HGNC Symbol
ENSG00000149970,ENSG00000149970.16,ENST00000642501,ENST00000642501.1,X,21372801,21654695,CNKSR2,HGNC Symbol
ENSG00000231913,ENSG00000231913.1,ENST00000457739,ENST00000457739.1,X,21421822,21422294,RARRES2P3,HGNC Symbol
ENSG00000185915,ENSG00000185915.5,ENST00000379499,ENST00000379499.3,X,21654690,21658330,KLHL34,HGNC Symbol
ENSG00000091482,ENSG00000091482.8,ENST00000379494,ENST00000379494.4,X,21705978,21758116,SMPX,HGNC Symbol
ENSG00000012174,ENSG00000012174.12,ENST00000465888,ENST00000465888.1,X,21839617,21885423,MBTPS2,HGNC Symbol
ENSG00000230797,ENSG00000230797.3,ENST00000429584,ENST00000429584.3,X,21855987,21858740,YY2,HGNC Symbol
ENSG00000271286,ENSG00000271286.1,ENST00000603134,ENST00000603134.1,X,21939461,21940160,CYTH1P1,HGNC Symbol
ENSG00000102172,ENSG00000102172.16,ENST00000404933,ENST00000404933.7,X,21940709,21994837,SMS,HGNC Symbol
ENSG00000102174,ENSG00000102174.10,ENST00000379374,ENST00000379374.5,X,22032325,22494713,PHEX,HGNC Symbol
ENSG00000224204,ENSG00000224204.1,ENST00000424650,ENST00000424650.1,X,22162733,22172983,PHEX-AS1,HGNC Symbol
ENSG00000233067,ENSG00000233067.4,ENST00000669979,ENST00000669979.1,X,22191895,22235358,PTCHD1-AS,HGNC Symbol
ENSG00000175809,ENSG00000175809.6,ENST00000323684,ENST00000323684.4,X,22272913,22274461,CBLL2,HGNC Symbol
ENSG00000224396,ENSG00000224396.1,ENST00000415522,ENST00000415522.1,X,22435598,22436818,METTL15P3,HGNC Symbol
ENSG00000201095,ENSG00000201095.1,ENST00000364225,ENST00000364225.1,X,22527835,22527941,RNU6-266P,HGNC Symbol
ENSG00000184735,ENSG00000184735.7,ENST00000327968,ENST00000327968.7,X,22999960,23003589,DDX53,HGNC Symbol
ENSG00000174028,ENSG00000174028.6,ENST00000312214,ENST00000312214.5,X,23075758,23076767,FAM3C2P,HGNC Symbol
ENSG00000228610,ENSG00000228610.1,ENST00000419302,ENST00000419302.1,X,23198339,23198690,PDCL2P1,HGNC Symbol
ENSG00000165186,ENSG00000165186.12,ENST00000379361,ENST00000379361.5,X,23334849,23404374,PTCHD1,HGNC Symbol
ENSG00000226774,ENSG00000226774.1,ENST00000445047,ENST00000445047.1,X,23351013,23351450,HIKESHIP1,HGNC Symbol
ENSG00000123131,ENSG00000123131.13,ENST00000379349,ENST00000379349.5,X,23664262,23686397,PRDX4,HGNC Symbol
ENSG00000123130,ENSG00000123130.17,ENST00000379303,ENST00000379303.10,X,23701055,23766475,ACOT9,HGNC Symbol
ENSG00000130066,ENSG00000130066.17,ENST00000379251,ENST00000379251.7,X,23783173,23786210,SAT1,HGNC Symbol
ENSG00000184831,ENSG00000184831.14,ENST00000633432,ENST00000633432.1,X,23833353,23907938,APOO,HGNC Symbol
ENSG00000238103,ENSG00000238103.4,ENST00000330965,ENST00000330965.4,X,23836742,23837321,RPL9P7,HGNC Symbol
ENSG00000165182,ENSG00000165182.12,ENST00000379211,ENST00000379211.8,X,23908006,23939509,CXorf58,HGNC Symbol
ENSG00000174010,ENSG00000174010.9,ENST00000328046,ENST00000328046.8,X,23983720,24027186,KLHL15,HGNC Symbol
ENSG00000130741,ENSG00000130741.11,ENST00000253039,ENST00000253039.9,X,24054946,24078810,EIF2S3,HGNC Symbol
