Composite Element REF,Chromosome,Start,End,Gene_Symbol,Gene_Type,Transcript_ID,Position_to_TSS,CGI_Coordinate,Feature_Type
cg00685925,chrX,48539660,48539661,TBC1D25;TBC1D25;TBC1D25;TBC1D25;TBC1D25,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376771.7;ENST00000418627.1;ENST00000476141.1;ENST00000481090.5;ENST00000494495.1,202;-139;-112;-78;-111,CGI:chrX:48539371-48540141,Island
cg00723973,chrX,46836830,46836831,RP2,protein_coding,ENST00000218340.3,-111,CGI:chrX:46836706-46837640,Island
cg00729461,chrX,134237054,134237055,CCDC160;CCDC160,protein_coding;protein_coding,ENST00000370809.4;ENST00000517294.4,6;6,CGI:chrX:134237039-134237448,Island
cg00769799,chrX,134460049,134460050,HPRT1;HPRT1,protein_coding;protein_coding,ENST00000298556.7;ENST00000462974.4,-105;-303,CGI:chrX:134459883-134460798,Island
cg00776430,chrX,53082245,53082246,TSPYL2;TSPYL2;TSPYL2;TSPYL2;TSPYL2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000375442.7;ENST00000553557.4;ENST00000556808.1;ENST00000578306.4;ENST00000579390.1,-123;-123;-879;-749;-137,CGI:chrX:53082099-53082834,Island
cg00790086,chrX,46837039,46837040,RP2,protein_coding,ENST00000218340.3,98,CGI:chrX:46836706-46837640,Island
cg00805116,chrX,46545429,46545430,ZNF674;ZNF674;ZNF674;ZNF674;ZNF674;ZNF674-AS1;ZNF674-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;lincRNA;lincRNA,ENST00000414387.5;ENST00000518708.1;ENST00000521626.4;ENST00000522017.4;ENST00000523374.4;ENST00000421685.2;ENST00000609887.1,-817;-4;-8;29;13;-65;-83,CGI:chrX:46545199-46545730,Island
cg00810519,chrX,48911830,48911831,SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2;SLC35A2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000247138.8;ENST00000376512.1;ENST00000376515.6;ENST00000376521.4;ENST00000376529.6;ENST00000413561.5;ENST00000445167.5;ENST00000446885.1;ENST00000452555.5;ENST00000616181.3,-189;-160;129;129;-193;129;-173;108;129;129,CGI:chrX:48911486-48911937,Island
cg00818649,chrX,41923044,41923045,CASK;CASK;CASK;CASK;CASK;CASK;CASK;CASK,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378154.1;ENST00000378158.4;ENST00000378163.4;ENST00000378166.7;ENST00000421587.5;ENST00000442742.5;ENST00000468986.5;ENST00000477823.1,420;296;420;-28;-31;-36;-28;-61,CGI:chrX:41922853-41924005,Island
cg00829575,chrX,38803809,38803810,MID1IP1;MID1IP1;MID1IP1;MID1IP1;MID1IP1-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000336949.6;ENST00000378474.3;ENST00000457894.4;ENST00000614558.1;ENST00000436893.1,75;2354;2376;2376;75,CGI:chrX:38803653-38805511,Island
cg00862041,chrX,102712089,102712090,GPRASP2;GPRASP2;GPRASP2;GPRASP2;GPRASP2;RP4-769N13.6;RP4-769N13.6;RP4-769N13.6,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;processed_transcript;processed_transcript;processed_transcript,ENST00000332262.8;ENST00000483720.4;ENST00000486814.1;ENST00000535209.4;ENST00000543253.4;ENST00000486740.5;ENST00000602366.4;ENST00000602463.4,-88;-302;-357;-88;-88;112551;112562;112576,CGI:chrX:102712039-102713042,Island
cg00878023,chrX,21374426,21374427,CNKSR2;CNKSR2;CNKSR2;CNKSR2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000279451.7;ENST00000379510.3;ENST00000425654.5;ENST00000543067.4,-17;-437;7;7,CGI:chrX:21373717-21375290,Island
cg00895705,chrX,54358104,54358105,WNK3;WNK3;WNK3,protein_coding;protein_coding;protein_coding,ENST00000354646.5;ENST00000375169.6;ENST00000458404.1,-98;-98;539,CGI:chrX:54357439-54359044,Island
cg00920537,chrX,134373200,134373201,PHF6;PHF6;PHF6;PHF6;PHF6,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000332070.6;ENST00000370799.4;ENST00000370800.4;ENST00000370803.6;ENST00000625464.1,-113;-121;-174;-54;-113,CGI:chrX:134373104-134373636,Island
cg00935924,chrX,119574390,119574391,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,-147;-78;-182;-160;-157;-359;-189;-174;-174,CGI:chrX:119574330-119575073,Island
cg00963467,chrX,150983264,150983265,HMGB3;HMGB3;HMGB3;HMGB3,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000325307.10;ENST00000419110.4;ENST00000448905.5;ENST00000455596.4,-23;2754;-143;-122,CGI:chrX:150982633-150984733,Island
cg01056373,chrX,152831003,152831004,CETN2;CETN2;NSDHL;NSDHL;NSDHL,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370277.3;ENST00000493482.1;ENST00000370274.6;ENST00000432467.1;ENST00000440023.4,-225;-1305;35;5;35,CGI:chrX:152830605-152831207,Island
cg01083397,chrX,154097533,154097534,MECP2;MECP2;MECP2;MECP2;MECP2;MECP2;MECP2;MECP2;MECP2;MECP2;MECP2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000303391.9;ENST00000369957.4;ENST00000407218.4;ENST00000415944.2;ENST00000453960.5;ENST00000496908.4;ENST00000619732.3;ENST00000627864.1;ENST00000628176.1;ENST00000629277.1;ENST00000631210.1,223;131;157;-554;232;-563;199;148;205;-9;39571,CGI:chrX:154097110-154098015,Island
cg01120894,chrX,130171752,130171753,RAB33A,protein_coding,ENST00000257017.4,102,CGI:chrX:130170972-130172453,Island
cg01142317,chrX,101932019,101932020,ZMAT1;ZMAT1;ZMAT1,protein_coding;protein_coding;protein_coding,ENST00000372782.4;ENST00000458570.4;ENST00000488347.4,-254;13;9,CGI:chrX:101931935-101932285,Island
cg01191902,chrX,49074192,49074193,AF196779.12;PRAF2;PRAF2;PRAF2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376358.3;ENST00000376386.3;ENST00000553851.2;ENST00000618882.1,5696;-202;-120;-356,CGI:chrX:49073764-49074295,Island
cg01212677,chrX,24465173,24465174,PDK3;PDK3,protein_coding;protein_coding,ENST00000379162.7;ENST00000441463.2,-49;-284,CGI:chrX:24464899-24465830,Island
cg01286388,chrX,77895568,77895569,MAGT1;MAGT1;MAGT1;MAGT1;MAGT1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000358075.9;ENST00000373336.3;ENST00000476168.1;ENST00000610432.3;ENST00000618282.3,26;-127;-143;1;-136,CGI:chrX:77895340-77895750,Island
cg01333849,chrX,119236208,119236209,PGRMC1;PGRMC1,protein_coding;protein_coding,ENST00000217971.7;ENST00000535419.2,-46;-38,CGI:chrX:119235899-119237010,Island
cg01345087,chrX,47619776,47619777,SYN1;SYN1,protein_coding;protein_coding,ENST00000295987.10;ENST00000340666.4,78;78,CGI:chrX:47619271-47620116,Island
cg01364818,chrX,130268979,130268980,ZNF280C;ZNF280C,protein_coding;protein_coding,ENST00000370978.7;ENST00000447817.1,-79;-95,CGI:chrX:130268484-130269114,Island
cg01366378,chrX,101098194,101098195,CENPI;CENPI,protein_coding;protein_coding,ENST00000403304.5;ENST00000435570.1,-25;-28,CGI:chrX:101098020-101098287,Island
cg01374431,chrX,103215022,103215023,BEX4;BEX4,protein_coding;protein_coding,ENST00000372691.3;ENST00000372695.5,-103;-71,CGI:chrX:103215012-103215491,Island
cg01384686,chrX,136497328,136497329,HTATSF1;HTATSF1;HTATSF1;HTATSF1,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000218364.4;ENST00000425695.4;ENST00000448450.4;ENST00000535601.4,-184;93;106;248,CGI:chrX:136496842-136497940,Island
cg01410230,chrX,101390872,101390873,BTK;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A;RPL36A-HNRNPH2;RPL36A-HNRNPH2,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000621635.3;ENST00000372849.7;ENST00000392994.6;ENST00000427805.5;ENST00000465340.4;ENST00000465744.4;ENST00000471855.1;ENST00000491851.4;ENST00000553110.6;ENST00000614077.3;ENST00000409170.3;ENST00000409338.4,-75;-145;-118;47;-140;-243;-331;-140;-112;-19;-141;-140,CGI:chrX:101390792-101391119,Island
cg01434723,chrX,154486748,154486749,UBL4A;UBL4A;UBL4A;UBL4A;UBL4A;UBL4A;UBL4A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000369653.7;ENST00000369660.7;ENST00000417913.1;ENST00000421431.1;ENST00000477777.1;ENST00000481237.1;ENST00000630530.1,-132;-77;-161;-135;-645;-163;-163,CGI:chrX:154485949-154487036,Island
cg01483252,chrX,46573697,46573698,CHST7,protein_coding,ENST00000276055.3,-88,CGI:chrX:46573619-46575467,Island
cg01530521,chrX,120245053,120245054,NKAPP1;NKAPP1;NKAPP1;NKAPP1;NKAPP1,transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene;transcribed_processed_pseudogene,ENST00000452254.2;ENST00000536487.2;ENST00000554109.1;ENST00000555168.1;ENST00000585790.1,181;9;215;-164;73,CGI:chrX:120244791-120245184,Island
cg01537968,chrX,100732050,100732051,SYTL4;SYTL4;SYTL4;SYTL4;SYTL4,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000263033.8;ENST00000276141.9;ENST00000372981.1;ENST00000372989.4;ENST00000491326.1,72;-515;71;-539;74,CGI:chrX:100731435-100732198,Island
cg01555661,chrX,47145246,47145247,NDUFB11;NDUFB11;RBM10;RBM10;RBM10;RBM10,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000276062.8;ENST00000377811.3;ENST00000329236.8;ENST00000345781.9;ENST00000377604.6;ENST00000628161.1,-207;259;-202;-34;376;-34,CGI:chrX:47144351-47145588,Island
cg01579322,chrX,54182715,54182716,FAM120C;FAM120C;FAM120C;FAM120C,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000328235.4;ENST00000375180.5;ENST00000477084.1;ENST00000497680.1,541;541;567;64,CGI:chrX:54182506-54183309,Island
cg01742836,chrX,136147596,136147597,FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1;FHL1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000370690.6;ENST00000394155.5;ENST00000420362.4;ENST00000458357.4;ENST00000618438.3;ENST00000627383.1;ENST00000627578.1;ENST00000628443.1;ENST00000629039.1;ENST00000630084.1,130;195;-71;-488;59;-845;62;-634;893;-983,CGI:chrX:136146788-136147890,Island
cg01755617,chrX,154398292,154398293,RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;XX-FW83563B9.5,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense,ENST00000344746.7;ENST00000369817.5;ENST00000406022.5;ENST00000424325.5;ENST00000436473.4;ENST00000451365.1;ENST00000458500.4;ENST00000467168.4;ENST00000479366.1;ENST00000482732.1;ENST00000485196.4;ENST00000489200.4;ENST00000491035.4;ENST00000492572.4;ENST00000618723.3;ENST00000624054.1,-81;1137;-599;61;-76;-1075;-87;-206;542;-97;-88;-86;-86;8336;61;525,CGI:chrX:154397754-154398983,Island
cg01759889,chrX,69505243,69505244,FAM155B,protein_coding,ENST00000252338.4,1,CGI:chrX:69503888-69506131,Island
cg01813294,chrX,17375303,17375304,NHS,protein_coding,ENST00000380060.6,-118,CGI:chrX:17375036-17377694,Island
cg01873087,chrX,48539448,48539449,TBC1D25;TBC1D25;TBC1D25;TBC1D25;TBC1D25,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000376771.7;ENST00000418627.1;ENST00000476141.1;ENST00000481090.5;ENST00000494495.1,-10;-351;-324;-290;-323,CGI:chrX:48539371-48540141,Island
cg01884384,chrX,118974869,118974870,LONRF3;LONRF3;LONRF3;LONRF3;LONRF3;LONRF3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000304778.10;ENST00000371628.6;ENST00000422289.3;ENST00000439603.4;ENST00000472173.4;ENST00000481285.4,254;118;-1464;-494;-1464;250,CGI:chrX:118974539-118976596,Island
cg01915804,chrX,78139761,78139762,TAF9B;TAF9B,protein_coding;protein_coding,ENST00000341864.5;ENST00000480681.1,-54;-138,CGI:chrX:78139334-78139795,Island
cg01991530,chrX,21839514,21839515,MBTPS2;MBTPS2;MBTPS2,protein_coding;protein_coding;protein_coding,ENST00000365779.2;ENST00000379484.8;ENST00000465888.1,-141;-123;-123,CGI:chrX:21839473-21840086,Island
cg01999076,chrX,46836985,46836986,RP2,protein_coding,ENST00000218340.3,44,CGI:chrX:46836706-46837640,Island
cg02124059,chrX,47482499,47482500,LINC01560;LINC01560;ZNF41;ZNF41,lincRNA;lincRNA;protein_coding;protein_coding,ENST00000357412.2;ENST00000624822.1;ENST00000313116.10;ENST00000377065.7,-1073;-1073;87;448,CGI:chrX:47482488-47483298,Island
cg02161125,chrX,41923439,41923440,CASK;CASK;CASK;CASK;CASK;CASK;CASK;CASK,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378154.1;ENST00000378158.4;ENST00000378163.4;ENST00000378166.7;ENST00000421587.5;ENST00000442742.5;ENST00000468986.5;ENST00000477823.1,25;-99;25;-423;-426;-431;-423;-456,CGI:chrX:41922853-41924005,Island
cg02166322,chrX,37571458,37571459,LANCL3;LANCL3;LANCL3;RP5-972B16.2,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000378619.3;ENST00000378621.6;ENST00000614025.3;ENST00000465127.1,-195;-112;-112;222127,CGI:chrX:37571453-37572531,Island
